Date,Open,High,Low,Close,Volume
2023-01-01,102.11176244308403,102.63532423457957,101.73981604748832,102.26405234596767,1386030
2023-01-02,102.87699598259074,104.56979286827878,101.75192842073393,102.66420955433489,1593015
2023-01-03,102.68133393505929,105.01792409121626,102.27638486734526,103.64294753844062,1304805
2023-01-04,105.4869903709912,106.3148560918692,104.49258984636437,105.88384073764209,1565119
2023-01-05,108.07174580277741,109.6461399087699,107.18436103462771,107.75139872779205,1652673
2023-01-06,106.35427606233652,108.23583246145596,106.0142669361154,106.77412084791564,1783749
2023-01-07,107.96024012343892,108.23209255063128,107.36190734196742,107.72420926544123,1509638
2023-01-08,107.43038945903507,107.9994760118785,105.9957610325305,107.57285205714354,1039308
2023-01-09,106.74058133379488,108.5060346332113,106.74058133379488,107.46963320534998,1134490
2023-01-10,107.4767963592004,107.93155714339741,106.48623722383837,107.88023170728835,1336458
2023-01-11,108.16420509985176,108.43921542933144,106.46688448656701,108.02427527844922,1293883
2023-01-12,109.66029430790854,110.32791972291521,107.92373366171469,109.4785487854122,1578486
2023-01-13,110.38823700825834,110.98792647122764,109.72074138186848,110.23958651055919,1891982
2023-01-14,110.66766316676629,111.28841237578165,109.6136352511869,110.36126152705202,1959294
2023-01-15,111.10933129980083,111.36038217238692,109.62992548940467,110.80512475979745,1648776
2023-01-16,111.00163595803967,112.31236778008805,110.59315528232278,111.13879908717172,1489671
2023-01-17,113.42597135203144,114.36058937217578,111.89117256189354,112.63287816032931,1917293
2023-01-18,112.1628436366593,112.66278360848759,112.03361133619224,112.42771989656352,1609413
2023-01-19,112.61251744874566,113.77554581252264,111.8210758307024,112.74078759821441,1376367
2023-01-20,112.67053856894404,112.67053856894404,111.79746725640447,111.8866918589127,1520891
2023-01-21,109.94609002117079,110.7674214054638,107.73411027393738,109.33370204307862,1939178
2023-01-22,110.39509780559972,110.77944004413357,109.83340774454571,109.98732063851898,1774595
2023-01-23,110.05221061200308,111.98259946109549,109.81408653971542,110.85175683737847,1071818
2023-01-24,110.9485570444614,110.9485570444614,109.49597161788165,110.10959181697204,1512754
2023-01-25,112.80782904005785,112.80782904005785,111.22426054329688,112.37934644095964,1001337
2023-01-26,111.9226747794966,111.9226747794966,109.00611408469402,110.92498076636087,1429531
2023-01-27,110.26963589297831,111.68196475936223,109.67959879475032,110.97073928366233,1800089
2023-01-28,111.51980754837292,112.66441932414212,110.71283056212552,110.7835554336365,1213379
2023-01-29,111.6413205173477,113.84698515560888,111.45552976897882,112.31633464799495,1136317
2023-01-30,114.01681254646292,115.28302065759632,112.76565971325873,113.78569341789523,1813774
2023-01-31,113.18828080929103,115.74808032308401,112.86828585418525,113.94064084359215,1266066
2023-02-01,115.01481982183878,115.01481982183878,112.95601834198665,114.31880336319432,1525509
2023-02-02,114.04565553301424,114.53540255540904,112.87582542010068,113.43101761556422,1833210
2023-02-03,111.58842262456947,112.61917328525182,111.19250001640765,111.45022114734029,1657284
2023-02-04,110.91667559246613,113.0261817551086,110.31695764491995,111.10230899801414,1187409
2023-02-05,110.3969919580284,111.8429530207032,109.34584652152621,111.25865796711811,1533189
2023-02-06,112.88380619413496,112.97060620767672,112.11468686434414,112.48894864784583,1696767
2023-02-07,113.59841386198639,113.89191638116124,111.88336058677378,113.69132849663025,1311646
2023-02-08,113.74811287816298,113.74811287816298,112.21638977906764,113.3040016792223,1467608
2023-02-09,113.73446358050421,114.86075756223134,112.08787608535543,113.00169892864696,1675459
2023-02-10,112.90418897358563,113.29297905676168,110.18906314312008,111.95314596357986,1880965
2023-02-11,111.24473471118611,112.10343385044716,109.61592010286371,110.53312802640089,1467368
2023-02-12,107.85028600414589,109.39031804728378,107.3785225625528,108.82685783577588,1561316
2023-02-13,110.4975893599644,111.95045356338032,109.97958258760147,110.77763323100767,1122426
2023-02-14,110.72796217410412,110.72796217410412,108.4598922634541,110.26798104925601,1107697
2023-02-15,109.17316610216771,110.80116193951407,108.44985670726237,109.82990674764483,1658871
2023-02-16,108.61918460000315,110.5321016670838,107.17786727909386,108.5771113875949,1600728
2023-02-17,108.46327772010532,111.10761223406,108.46327772010532,109.35460174342681,1721569
2023-02-18,107.14069694566166,108.41702179954255,106.22714661039508,107.74070389586886,1952210
2023-02-19,106.56500720457612,109.4511039247379,106.25584150476061,107.5279636156549,1515937
2023-02-20,107.21989246117606,107.21989246117606,106.15245650770179,106.63249705446121,1700878
2023-02-21,106.46724892844124,108.91803719715185,106.46724892844124,107.01939955232048,1418545
2023-02-22,106.1992977761454,108.39134982416459,104.91581146571694,106.5085944147516,1728199
2023-02-23,106.18412481756037,106.92636740533398,103.40962902455875,105.3279622306292,1903093
2023-02-24,105.7086088061376,106.56067587602412,104.38350234777045,105.29978000229053,1291563
2023-02-25,104.79178973188358,107.47668780607086,104.5461435421736,105.72811187282096,1389166
2023-02-26,105.12401740819996,106.38066966421972,104.07918380681701,105.79462909520413,1654832
2023-02-27,106.34005779594344,107.79498810356975,105.1826540862362,106.09710099294391,1830079
2023-02-28,105.61723607647127,106.69853228309799,103.55902994559747,105.46277889926294,1031649
2023-03-01,104.57582337602481,105.1265114487936,103.94853540918605,105.1000377332758,1106833
2023-03-02,105.29600528134944,105.29600528134944,102.78604304409723,104.42757728549985,1709789
2023-03-03,104.2959560358911,104.36430584585564,102.25033668713382,104.0680241239593,1093708
2023-03-04,103.32614344796478,105.21853662155137,101.62383020437773,103.25487784191486,1847478
2023-03-05,101.70841519229232,102.48533585366316,101.20976631268528,101.52859523958318,1304942
2023-03-06,102.16626544087048,102.70080411283426,100.44822450371353,101.70602138183693,1977782
